Code,Borough,Year,Offences,Rate,Number_of_offences
E09000002,Barking and Dagenham,1999-00,All recorded offences,120.5,"19,567"
E09000003,Barnet,1999-00,All recorded offences,98,"30,708"
E09000004,Bexley,1999-00,All recorded offences,95.1,"20,680"
E09000005,Brent,1999-00,All recorded offences,127.7,"33,253"
E09000006,Bromley,1999-00,All recorded offences,89.8,"26,474"
E09000007,Camden,1999-00,All recorded offences,241,"45,800"
E09000008,Croydon,1999-00,All recorded offences,113.7,"37,743"
E09000009,Ealing,1999-00,All recorded offences,128.2,"38,737"
E09000010,Enfield,1999-00,All recorded offences,104.8,"28,588"
E09000011,Greenwich,1999-00,All recorded offences,141.4,"29,991"
E09000012,Hackney,1999-00,All recorded offences,195.9,"39,007"
E09000013,Hammersmith and Fulham,1999-00,All recorded offences,178,"28,600"
E09000014,Haringey,1999-00,All recorded offences,155.9,"34,075"
E09000015,Harrow,1999-00,All recorded offences,80.7,"16,777"
E09000016,Havering,1999-00,All recorded offences,83.2,"18,787"
E09000017,Hillingdon,1999-00,All recorded offences,107.2,"26,281"
E09000018,Hounslow,1999-00,All recorded offences,144.8,"31,032"
E09000019,Islington,1999-00,All recorded offences,218.7,"38,427"
E09000020,Kensington and Chelsea,1999-00,All recorded offences,208.4,"30,779"
E09000021,Kingston upon Thames,1999-00,All recorded offences,100.3,"14,649"
E09000022,Lambeth,1999-00,All recorded offences,195.7,"52,212"
E09000023,Lewisham,1999-00,All recorded offences,118.4,"29,628"
E09000024,Merton,1999-00,All recorded offences,90.8,"16,812"
E09000025,Newham,1999-00,All recorded offences,159.4,"38,335"
E09000026,Redbridge,1999-00,All recorded offences,103.2,"24,578"
E09000027,Richmond upon Thames,1999-00,All recorded offences,89.7,"15,504"
E09000028,Southwark,1999-00,All recorded offences,176.5,"43,734"
E09000029,Sutton,1999-00,All recorded offences,80.8,"14,493"
E09000030,Tower Hamlets,1999-00,All recorded offences,176.1,"34,071"
E09000031,Waltham Forest,1999-00,All recorded offences,122.3,"27,035"
E09000032,Wandsworth,1999-00,All recorded offences,134.5,"35,527"
E09000033,Westminster,1999-00,All recorded offences,463,"87,615"
#N/A,Heathrow,1999-00,All recorded offences,n/a,"6,717"
E13000001,Inner London,1999-00,All recorded offences,195.5,"537,810"
E13000002,Outer London,1999-00,All recorded offences,107.1,"471,689"
E12000007,Met Police Area,1999-00,All recorded offences,142.1,"1,016,216"
727,England and Wales,1999-00,All recorded offences,n/a,n/a
E09000002,Barking and Dagenham,2000-01,All recorded offences,123.6,"20,253"
E09000003,Barnet,2000-01,All recorded offences,95.7,"30,213"
E09000004,Bexley,2000-01,All recorded offences,96.3,"21,072"
E09000005,Brent,2000-01,All recorded offences,122.7,"32,513"
E09000006,Bromley,2000-01,All recorded offences,88.5,"26,142"
E09000007,Camden,2000-01,All recorded offences,238.5,"46,778"
E09000008,Croydon,2000-01,All recorded offences,105.4,"35,221"
E09000009,Ealing,2000-01,All recorded offences,126.7,"38,572"
E09000010,Enfield,2000-01,All recorded offences,101.9,"28,019"
E09000011,Greenwich,2000-01,All recorded offences,131.3,"28,165"
E09000012,Hackney,2000-01,All recorded offences,188,"38,242"
E09000013,Hammersmith and Fulham,2000-01,All recorded offences,171.8,"28,236"
E09000014,Haringey,2000-01,All recorded offences,149.2,"32,799"
E09000015,Harrow,2000-01,All recorded offences,81.4,"17,031"
E09000016,Havering,2000-01,All recorded offences,87.8,"19,761"
E09000017,Hillingdon,2000-01,All recorded offences,108.7,"26,739"
E09000018,Hounslow,2000-01,All recorded offences,135.2,"29,034"
E09000019,Islington,2000-01,All recorded offences,202.2,"35,968"
E09000020,Kensington and Chelsea,2000-01,All recorded offences,198.6,"30,714"
E09000021,Kingston upon Thames,2000-01,All recorded offences,96.8,"14,265"
E09000022,Lambeth,2000-01,All recorded offences,188.7,"50,950"
