Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
City of London,00AA,E09000001,8100.0,650.0,6250.0,1250.0,8.0,76.9,15.2,41.3,39.0,3.2,2538.1,21.4,36.7,11.9,38.4,84.3,88.6,11.1,23.2,140.0,19.3,57.0,4555.0,79.6,392400.0,63.3,138.9,765000.0,309.0,63620.0,5530.0,0.4,0.2,1.4,98.0,42.3,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,9.5,0.9,24.2,551.0,20.0,354.5,0.7,6.7,68.4,662.9,210.5,656.4,85.3,0.4,18.6,0.4,7.9,5.3,48.5
Barking and Dagenham - Abbey,00ABFX,E05000026,14750.0,3850.0,10150.0,750.0,26.0,69.0,5.0,29.5,29.0,1.3,10500.0,71.9,57.3,25.7,97.6,80.2,83.9,13.3,24.7,157.3,1.3,2.0,5444.0,60.3,9500.0,1.0,108.7,173000.0,151.0,33920.0,4753.0,3.9,7.2,22.6,66.3,32.7,26.7,38.6,45.2,54.8,0.0,15.1,16.1,4.2,4.0,22.1,8.7,55.3,166.0,85.7,317.7,1.4,16.4,34.5,682.6,208.9,138.1,42.2,1.4,21.9,0.5,6.0,0.8,25.7
Barking and Dagenham - Alibon,00ABFY,E05000027,10600.0,2700.0,6800.0,1050.0,25.7,64.3,10.0,33.8,33.0,1.4,7428.6,29.9,24.7,7.9,83.3,77.2,80.6,10.0,26.0,139.8,0.9,1.0,4143.0,63.1,1000.0,0.1,31.1,215000.0,119.0,32470.0,4045.0,3.8,18.2,63.8,14.2,45.1,36.8,15.9,9.7,90.3,0.0,20.7,17.7,7.3,3.7,24.7,12.4,61.0,124.0,100.0,307.4,1.5,31.2,16.7,627.9,201.6,73.6,27.3,0.7,20.6,0.8,3.1,1.0,20.3
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700.0,3200.0,8350.0,1100.0,25.4,65.9,8.7,33.0,32.0,1.3,9269.2,41.2,30.1,10.5,101.1,79.0,79.3,12.3,29.3,130.1,0.6,3.0,4598.0,61.2,1300.0,0.2,38.6,210000.0,191.0,33000.0,4378.0,4.2,24.7,52.0,19.1,46.7,29.4,20.1,13.4,86.6,0.0,17.8,16.4,6.5,3.6,22.0,10.7,51.5,185.0,100.0,295.5,1.5,28.0,20.6,632.0,207.9,79.9,27.6,1.2,1.9,0.9,2.9,1.6,22.5
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400.0,2550.0,6400.0,1450.0,24.3,61.5,14.2,36.2,34.0,3.4,2985.3,37.9,24.8,6.5,73.6,79.2,82.2,12.8,24.6,139.1,0.8,6.0,3819.0,63.6,1900.0,0.3,26.3,240500.0,108.0,33920.0,4062.0,3.8,29.6,32.2,34.5,54.0,32.0,12.4,33.8,65.9,0.2,19.4,15.1,5.9,3.7,24.3,10.1,55.2,96.0,100.0,293.4,1.6,29.1,19.5,613.9,210.5,76.1,24.6,1.3,56.0,0.9,2.3,1.2,25.3
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750.0,2150.0,7050.0,1550.0,20.1,65.7,14.2,37.7,36.0,3.5,3028.6,24.8,19.0,4.5,73.2,77.1,81.1,12.6,21.6,147.8,0.7,2.0,4592.0,68.2,4000.0,0.6,18.4,240000.0,129.0,37400.0,3977.0,3.2,32.6,45.5,18.4,67.6,20.0,11.2,14.8,84.7,0.5,14.7,12.1,4.6,4.0,20.4,6.7,48.7,288.0,100.0,305.9,1.2,29.9,18.5,670.1,206.8,66.7,24.5,0.8,50.4,1.1,2.3,1.6,24.1
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900.0,3000.0,7750.0,1150.0,25.2,65.2,9.6,33.4,32.0,1.4,8357.1,41.7,32.2,11.9,87.6,78.9,84.9,11.5,26.5,113.0,0.4,5.0,4546.0,61.5,1200.0,0.2,48.9,220000.0,105.0,32870.0,4321.0,5.0,21.0,52.5,21.5,44.0,37.4,17.3,18.9,81.1,0.0,18.1,16.9,5.7,3.6,22.3,11.1,52.5,135.0,100.0,315.7,1.4,28.9,20.0,680.8,212.1,82.2,24.9,0.6,17.1,0.8,2.7,1.5,21.5
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850.0,5100.0,9900.0,850.0,32.0,62.6,5.4,29.0,29.0,1.1,12772.7,60.4,48.2,18.7,92.9,75.5,81.1,16.2,29.0,136.1,0.8,2.0,4382.0,56.4,2900.0,0.3,69.6,200000.0,87.0,29480.0,4711.0,2.2,6.8,19.5,71.4,23.7,54.0,18.3,59.4,40.6,0.0,19.5,20.1,5.3,4.1,22.9,14.7,57.2,37.0,100.0,300.7,1.3,25.5,25.2,662.1,210.3,75.8,20.3,0.9,20.8,0.5,3.2,1.4,25.6
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450.0,3000.0,7250.0,1250.0,25.9,63.2,10.9,34.1,33.0,1.3,8692.3,33.3,26.8,7.7,86.2,77.5,82.8,16.2,25.2,136.6,0.7,1.0,4544.0,63.6,1300.0,0.2,27.4,205000.0,109.0,33250.0,4296.0,4.8,17.4,62.5,15.3,43.1,37.3,15.8,11.2,88.8,0.0,18.9,17.7,6.2,3.5,23.9,11.1,57.3,142.0,100.0,302.2,1.2,30.0,18.8,693.7,217.3,74.8,25.8,0.9,14.1,0.8,2.5,1.7,20.5
Barking and Dagenham - Heath,00ABGF,E05000034,11150.0,2900.0,6950.0,1300.0,26.2,62.3,11.5,34.4,32.0,2.0,5475.0,32.3,24.1,6.2,88.4,76.5,80.1,15.0,26.0,188.0,0.8,3.0,4043.0,61.4,3100.0,0.5,30.0,215000.0,105.0,31340.0,4418.0,2.9,18.9,41.9,36.4,41.6,45.3,11.3,36.2,63.8,0.0,21.3,19.6,6.7,3.9,23.4,11.7,55.4,91.0,100.0,297.3,1.1,32.1,17.6,656.7,207.6,83.7,24.2,2.0,36.3,0.7,2.7,1.6,22.2
